gene,log2FoldChange,pval,padj,-log10(padj)
ENSG00000269680,-0.6509183033781145,1.2079311742875176e-10,3.547703370151528e-10,9.450052699463717
ENSG00000179088,-0.6237321607238704,1.2137358467672524e-10,3.561947056209167e-10,9.448312540057248
ENSG00000104918,1.4972655901201266,1.2356643448311359e-10,3.622131418150084e-10,9.441035796666354
ENSG00000182195,-0.5969424328300484,1.2361858700549752e-10,3.622131418150084e-10,9.441035796666354
ENSG00000167210,1.1292528028454951,1.2428978751481592e-10,3.638939618761879e-10,9.439025150639674
ENSG00000137094,-0.908375137012267,1.2652923688900877e-10,3.7016004203608054e-10,9.431610464188847
ENSG00000173801,1.299478032048429,1.284580838797921e-10,3.755083486454738e-10,9.425380402919854
ENSG00000170074,-0.9009647836035244,1.2999306702480115e-10,3.796978386863808e-10,9.42056187494145
ENSG00000248429,0.6612027677579669,1.3051359741907798e-10,3.809199674281384e-10,9.419166261477745
ENSG00000076770,-0.9144102205895035,1.3169414081909102e-10,3.840650080181466e-10,9.41559525939795
ENSG00000172270,-0.8434352485052348,1.3368975824700043e-10,3.8958031114164966e-10,9.409402999890457
ENSG00000260398,-0.6385933318500836,1.3714514428486684e-10,3.9933753956483474e-10,9.398659862208499
ENSG00000223750,-0.5906048242366212,1.412763943221519e-10,4.11045983480208e-10,9.386109591129687
ENSG00000003249,-0.9784479154538296,1.4292078480584056e-10,4.1550625668416626e-10,9.38142243223378
ENSG00000128578,0.5659155243912515,1.434727752609006e-10,4.167861773544854e-10,9.380086692775272
ENSG00000282939,-0.8639812641456114,1.4651007076668499e-10,4.252782598908443e-10,9.371326817734518
